pos,joint,obb_center_x,obb_center_y,obb_center_z,obb_axis_x1,obb_axis_y1,obb_axis_z1,obb_axis_x2,obb_axis_y2,obb_axis_z2,obb_axis_x3,obb_axis_y3,obb_axis_z3,obb_half_length_x,obb_half_length_y,obb_half_length_z
9,4,3.8523,-0.2531,0.5062,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
9,5,4.0176,-0.1135,0.6614,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
9,6,4.1102,-0.0924,0.4265,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
9,7,4.2190,-0.0822,0.4491,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
9,8,4.2456,-0.0386,0.4472,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
9,9,4.2748,0.0282,0.4544,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
9,10,4.3197,-0.0309,0.4546,0.9999,0.0168,0.0000,-0.0168,0.9999,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
10,0,4.0160,0.0305,0.4400,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
10,1,4.0240,0.0336,0.6052,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
10,2,4.1010,-0.0253,0.5173,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
10,3,4.1267,-0.2016,0.5889,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
10,4,4.2456,-0.2459,0.5062,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
10,5,4.4107,-0.1061,0.6614,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
10,6,4.5033,-0.0848,0.4265,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
10,7,4.6120,-0.0745,0.4491,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
10,8,4.6386,-0.0308,0.4472,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
10,9,4.6677,0.0361,0.4544,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
10,10,4.7127,-0.0230,0.4546,0.9998,0.0183,0.0000,-0.0183,0.9998,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
11,0,4.4117,0.0380,0.4400,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
11,1,4.4198,0.0411,0.6052,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
11,2,4.4968,-0.0177,0.5173,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
11,3,4.5227,-0.1939,0.5889,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
11,4,4.6417,-0.2381,0.5062,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
11,5,4.8066,-0.0980,0.6614,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
11,6,4.8992,-0.0767,0.4265,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
11,7,5.0079,-0.0661,0.4491,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
11,8,5.0344,-0.0224,0.4472,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
11,9,5.0634,0.0445,0.4544,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
